"Iros Torch", 0, 1, -1, 1, -1, 7, 5, "wnd", "Wand", -1, -1, 5, 5000, "cred", "", "", "invwndu", "", -1, "", "nec", -1, 1, 1, "lifesteal", -1, 6, 6, "dmg-fire", -1, 5, 9, "light", -1, 3, 3, "enr", -1, 10, 10, "regen-mana", -1, 5, 5, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Maelstrom", 0, 1, -1, 1, -1, 19, 14, "ywn", "Yew Wand", -1, -1, 5, 5000, "dblu", "dblu", "", "", "", -1, "", "ltng-min", -1, 1, 1, "ltng-max", -1, 9, 9, "res-ltng", -1, 40, 40, "mana", -1, 13, 13, "cast2", -1, 30, 30, "skill", 74, 1, 3, "skill", 77, 1, 3, "skill", 66, 1, 3, "skill", 76, 1, 3, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Gravenspine", 0, 1, -1, 1, -1, 27, 20, "bwn", "Bone Wand", -1, -1, 5, 5000, "cgrn", "", "", "invbwnu", "", -1, "", "str", -1, 10, 10, "dex", -1, 10, 10, "cold-min", -1, 4, 4, "cold-max", -1, 8, 8, "cold-len", -1, 75, 75, "manasteal", -1, 5, 5, "nec", -1, 2, 2, "mana", -1, 25, 50, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Umes Lament", 0, 1, -1, 1, -1, 38, 28, "gwn", "Grim Wand", -1, -1, 5, 5000, "lblu", "lblu", "", "", "", -1, "", "nec", -1, 2, 2, "mana", -1, 40, 40, "cast2", -1, 20, 20, "howl", -1, 64, 64, "skill", 77, 3, 3, "skill", 87, 2, 2, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Felloak", 0, 1, -1, 1, -1, 4, 3, "clb", "Club", -1, -1, 5, 5000, "lgry", "", "", "invclbu", "", -1, "", "res-ltng", -1, 60, 60, "res-fire", -1, 20, 20, "knock", -1, 1, 1, "fire-min", -1, 6, 6, "fire-max", -1, 8, 8, "dmg%", -1, 70, 80, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Knell Striker", 0, 1, -1, 1, -1, 7, 5, "scp", "Scepter", -1, -1, 5, 5000, "dred", "dred", "", "", "", -1, "", "crush", -1, 25, 25, "res-fire", -1, 20, 20, "res-pois", -1, 20, 20, "mana", -1, 15, 15, "att", -1, 35, 35, "dmg%", -1, 70, 80, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Rusthandle", 0, 1, -1, 1, -1, 23, 17, "gsc", "Grand Scepter", -1, -1, 5, 5000, "lgld", "lgld", "", "", "", -1, "", "pal", -1, 1, 1, "dmg-norm", -1, 3, 7, "red-mag", -1, 1, 1, "lifesteal", -1, 8, 8, "dmg%", -1, 50, 60, "dmg-undead", -1, 50, 60, "skill", 111, 1, 3, "skill", 103, 3, 3, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Stormeye", 0, 1, -1, 1, -1, 31, 23, "wsp", "War Scepter", -1, -1, 5, 5000, "cred", "cred", "", "", "", -1, "", "dmg-ltng", -1, 1, 6, "dmg-cold", 75, 3, 5, "regen", -1, 10, 10, "dmg%", -1, 80, 120, "skill", 110, 3, 5, "skill", 118, 3, 3, "skill", 121, 1, 1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Stoutnail", 0, 1, -1, 1, -1, 7, 5, "spc", "Spiked Club", -1, -1, 5, 5000, "dgry", "", "", "invspcu", "", -1, "", "thorns", -1, 3, 10, "dmg%", -1, 100, 100, "vit", -1, 7, 7, "red-mag", -1, 2, 2, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Crushflange", 0, 1, -1, 1, -1, 12, 9, "mac", "Mace", -1, -1, 5, 5000, "blac", "blac", "", "", "", -1, "", "str", -1, 15, 15, "knock", -1, 1, 1, "light", -1, 2, 2, "res-fire", -1, 50, 50, "dmg%", -1, 50, 60, "crush", -1, 33, 33, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Bloodrise", 0, 1, -1, 1, -1, 20, 15, "mst", "Morning Star", -1, -1, 5, 5000, "lblu", "", "", "invmstu", "", -1, "", "dmg%", -1, 120, 120, "att%", -1, 50, 50, "openwounds", -1, 25, 25, "light", -1, 2, 2, "swing1", -1, 10, 10, "skill", 96, 3, 3, "lifesteal", -1, 5, 5, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Generals Tan Do Li Ga", 0, 1, -1, 1, -1, 28, 21, "fla", "Flail", -1, -1, 5, 5000, "dblu", "dblu", "", "", "", -1, "", "dmg-min", -1, 1, 1, "dmg-max", -1, 20, 20, "slow", -1, 50, 50, "ac", -1, 25, 25, "manasteal", -1, 5, 5, "dmg%", -1, 50, 60, "swing2", -1, 20, 20, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Ironstone", 0, 1, -1, 1, -1, 36, 27, "whm", "War Hammer", -1, -1, 5, 5000, "cblu", "cblu", "", "", "", -1, "", "att", -1, 100, 150, "dmg%", -1, 100, 150, "ltng-min", -1, 1, 1, "ltng-max", -1, 10, 10, "str", -1, 10, 10, "*enr", -1, -5, -5, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Bonesob", 0, 1, -1, 1, -1, 32, 24, "mau", "Maul", -1, -1, 5, 5000, "lred", "", "", "invmauu", "", -1, "", "dmg%", -1, 200, 300, "crush", -1, 40, 40, "res-fire", -1, 30, 30, "res-cold", -1, 30, 30, "dmg-undead", -1, 50, 50, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Steeldriver", 0, 1, -1, 1, -1, 39, 29, "gma", "Great Maul", -1, -1, 5, 5000, "cgrn", "cgrn", "", "invgma", "", -1, "", "ease", -1, -50, -50, "swing3", -1, 40, 40, "regen-stam", -1, 25, 25, "dmg%", -1, 150, 250, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Rixots Keen", 0, 1, -1, 1, -1, 3, 2, "ssd", "Short Sword", -1, -1, 5, 5000, "blac", "blac", "", "", "", -1, "", "dmg-min", -1, 5, 5, "att%", -1, 20, 20, "light", -1, 2, 2, "crush", -1, 25, 25, "ac", -1, 25, 25, "dmg%", -1, 100, 100, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Blood Crescent", 0, 1, -1, 1, -1, 10, 7, "scm", "Scimitar", -1, -1, 5, 5000, "lblu", "", "", "invscmu", "", -1, "", "res-all", -1, 15, 15, "dmg%", -1, 60, 80, "hp", -1, 15, 15, "light", -1, 4, 4, "openwounds", -1, 33, 33, "swing2", -1, 15, 15, "lifesteal", -1, 15, 15, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Krintizs Skewer", 0, 1, -1, 1, -1, 14, 10, "sbr", "Saber", -1, -1, 5, 5000, "cblu", "", "", "inv9sbu", "", -1, "", "ignore-ac", -1, 1, 1, "str", -1, 10, 10, "dex", -1, 10, 10, "manasteal", -1, 7, 7, "dmg%", -1, 50, 50, "dmg-norm", -1, 3, 7, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Gleamscythe", 0, 1, -1, 1, -1, 18, 13, "flc", "Falchion", -1, -1, 5, 5000, "lred", "", "", "invflcu", "", -1, "", "light", -1, 3, 3, "mana", -1, 30, 30, "ac", -1, 20, 20, "swing2", -1, 20, 20, "dmg%", -1, 60, 100, "dmg-cold", 50, 3, 5, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"azurewrath 1", 0, 1, -1, 1, -1, 18, 13, "crs", "Crystal Sword", -1, -1, 5, 5000, "lgry", "", "", "invcrsu", "", -1, "", "deadly", -1, 50, 50, "mag%", -1, 10, 10, "dmg-cold", 100, 3, 6, "dmg%", -1, 100, 100, "dur", -1, 25, 25, "dmg-mag", -1, 5, 10, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Griswolds Edge", 0, 1, -1, 1, -1, 23, 17, "bsd", "Broad Sword", -1, -1, 5, 5000, "cred", "", "", "invbsdu", "", -1, "", "fire-min", -1, 10, 12, "fire-max", -1, 15, 25, "att", -1, 100, 100, "swing1", -1, 10, 10, "knock", -1, 1, 1, "dmg%", -1, 80, 120, "str", -1, 12, 12, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Hellplague", 0, 1, -1, 1, -1, 30, 22, "lsd", "Long Sword", -1, -1, 5, 5000, "dred", "", "", "invlsdu", "", -1, "", "manasteal", -1, 5, 5, "lifesteal", -1, 5, 5, "pois-min", -1, 48, 48, "pois-max", -1, 96, 96, "pois-len", -1, 150, 150, "dmg%", -1, 70, 80, "dmg-fire", -1, 25, 75, "fireskill", -1, 2, 2, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Culwens Point", 0, 1, -1, 1, -1, 39, 29, "wsd", "War Sword", -1, -1, 5, 5000, "whit", "whit", "", "", "", -1, "", "allskills", -1, 1, 1, "res-pois-len", -1, 50, 50, "balance2", -1, 20, 20, "swing2", -1, 20, 20, "att", -1, 60, 60, "dmg%", -1, 70, 80, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Shadowfang", 0, 1, -1, 1, -1, 16, 12, "2hs", "2-Handed Sword", -1, -1, 5, 5000, "cgrn", "", "", "inv2hsu", "", -1, "", "manasteal", -1, 9, 9, "res-cold", -1, 20, 20, "light", -1, -2, -2, "dmg-cold", 150, 10, 30, "dmg%", -1, 100, 100, "lifesteal", -1, 9, 9, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Soulflay", 0, 1, -1, 1, -1, 26, 19, "clm", "Claymore", -1, -1, 5, 5000, "dgrn", "dgrn", "", "", "", -1, "", "manasteal", -1, 4, 10, "lifesteal", -1, 4, 4, "dmg%", -1, 70, 100, "res-all", -1, 5, 5, "swing2", -1, 10, 10, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Kinemils Awl", 0, 1, -1, 1, -1, 31, 23, "gis", "Giant Sword", -1, -1, 5, 5000, "dblu", "", "", "invgisu", "", -1, "", "att", -1, 100, 150, "mana", -1, 20, 20, "fire-min", -1, 6, 6, "fire-max", -1, 20, 40, "dmg%", -1, 80, 100, "skill", 102, 6, 6, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Blacktongue", 0, 1, -1, 1, -1, 35, 26, "bsw", "Bastard Sword", -1, -1, 5, 5000, "lgrn", "", "", "invbswu", "", -1, "", "dmg-pois", 150, 192, 192, "noheal", -1, 1, 1, "att", -1, 50, 50, "res-pois", -1, 50, 50, "dmg%", -1, 50, 60, "*hp", -1, -10, -10, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Ripsaw", 0, 1, -1, 1, -1, 35, 26, "flb", "Flamberge", -1, -1, 5, 5000, "cblu", "cblu", "", "", "", -1, "", "openwounds", -1, 80, 80, "dmg-max", -1, 15, 15, "manasteal", -1, 6, 6, "dmg%", -1, 80, 100, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Patriarch", 0, 1, -1, 1, -1, 39, 29, "gsd", "Great Sword", -1, -1, 5, 5000, "cred", "", "", "invgsdu", "", -1, "", "red-dmg", -1, 3, 3, "red-mag", -1, 3, 3, "stupidity", -1, 1, 1, "gold%", -1, 100, 100, "dmg%", -1, 100, 120, "str", -1, 10, 10, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Gull", 0, 1, -1, 1, -1, 6, 4, "dgr", "Dagger", -1, -1, 5, 5000, "lgry", "lgry", "", "", "", -1, "", "dmg-min", -1, 1, 1, "dmg-max", -1, 15, 15, "mag%", -1, 100, 100, "mana", -1, -5, -5, "", -1, -1, -1, "", -1, 0, 0, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Diggler", 0, 1, -1, 1, -1, 15, 11, "dir", "Dirk", -1, -1, 5, 5000, "dgry", "dgry", "", "", "", -1, "", "dex", -1, 10, 10, "dmg%", -1, 50, 50, "swing3", -1, 30, 30, "res-cold", -1, 25, 25, "res-fire", -1, 25, 25, "ignore-ac", -1, 1, 1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Jade Tan Do", 0, 1, -1, 1, -1, 26, 19, "kri", "Kris", -1, -1, 5, 5000, "oran", "", "", "invkrsu", "", -1, "", "att", -1, 100, 150, "nofreeze", -1, 1, 1, "dmg-pois", 100, 460, 460, "res-pois", -1, 95, 95, "res-pois-max", -1, 20, 20, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Irices Shard", 0, 1, -1, 1, -1, 34, 25, "bld", "Blade", -1, -1, 5, 5000, "dblu", "dblu", "", "", "", -1, "", "cast3", -1, 50, 50, "mana", -1, 50, 50, "att", -1, 55, 55, "res-all", -1, 10, 10, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Dragon Chang", 0, 1, -1, 1, -1, 11, 8, "spr", "Spear", -1, -1, 5, 5000, "dpur", "dpur", "", "", "", -1, "", "att", -1, 35, 35, "dmg-min", -1, 10, 10, "light", -1, 2, 2, "dmg-undead", -1, 100, 100, "dmg-fire", -1, 3, 6, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Razortine", 0, 1, -1, 1, -1, 16, 12, "tri", "Trident", -1, -1, 5, 5000, "oran", "", "", "invtriu", "", -1, "", "slow", -1, 25, 25, "reduce-ac", -1, 50, 50, "str", -1, 15, 15, "dex", -1, 8, 8, "swing2", -1, 30, 30, "dmg%", -1, 30, 50, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Bloodthief", 0, 1, -1, 1, -1, 23, 17, "brn", "Brandistock", -1, -1, 5, 5000, "whit", "whit", "", "", "", -1, "", "openwounds", -1, 35, 35, "str", -1, 10, 10, "lifesteal", -1, 8, 12, "hp", -1, 26, 26, "dmg%", -1, 50, 70, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Lance of Yaggai", 0, 1, -1, 1, -1, 30, 22, "spt", "Spetum", -1, -1, 5, 5000, "lred", "lred", "", "", "", -1, "", "thorns", -1, 8, 8, "ltng-min", -1, 1, 1, "ltng-max", -1, 60, 60, "res-all", -1, 15, 15, "swing2", -1, 40, 40, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Tannr Gorerod", 0, 1, -1, 1, -1, 36, 27, "pik", "Pike", -1, -1, 5, 5000, "lgry", "lgry", "", "", "", -1, "", "fire-min", -1, 23, 23, "fire-max", -1, 54, 54, "res-fire-max", -1, 15, 15, "hp", -1, 30, 30, "att", -1, 60, 60, "light", -1, 3, 3, "res-fire", -1, 15, 15, "dmg%", -1, 80, 100, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Dimoaks Hew", 0, 1, -1, 1, -1, 11, 8, "bar", "Bardiche", -1, -1, 5, 5000, "blac", "blac", "", "", "", -1, "", "dex", -1, 15, 15, "dmg%", -1, 100, 100, "swing2", -1, 20, 20, "ac", -1, -8, -8, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Steelgoad", 0, 1, -1, 1, -1, 19, 14, "vou", "Voulge", -1, -1, 5, 5000, "cgrn", "cgrn", "", "", "", -1, "", "howl", -1, 96, 96, "deadly", -1, 30, 30, "att", -1, 30, 30, "res-all", -1, 5, 5, "dmg%", -1, 60, 80, "dur", -1, 20, 40, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Soul Harvest", 0, 1, -1, 1, -1, 26, 19, "scy", "Scythe", -1, -1, 5, 5000, "dgry", "", "", "invscyu", "", -1, "", "openwounds", -1, 30, 30, "att", -1, 45, 45, "res-all", -1, 20, 20, "dmg%", -1, 50, 90, "manasteal", -1, 10, 10, "enr", -1, 5, 5, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Battlebranch", 0, 1, -1, 1, -1, 34, 25, "pax", "Poleaxe", -1, -1, 5, 5000, "lblu", "lblu", "", "", "", -1, "", "swing3", -1, 30, 30, "dex", -1, 10, 10, "dmg%", -1, 50, 70, "att", -1, 50, 100, "lifesteal", -1, 7, 7, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Woestave", 0, 1, -1, 1, -1, 38, 28, "hal", "Halberd", -1, -1, 5, 5000, "dblu", "dblu", "", "", "", -1, "", "slow", -1, 50, 50, "openwounds", -1, 50, 50, "stupidity", -1, 3, 3, "dmg-ac", -1, -50, -50, "freeze", -1, 1, 1, "light", -1, -3, -3, "noheal", -1, 1, 1, "dmg%", -1, 20, 40, "*enr", -1, -30, -30, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Grim Reaper", 0, 1, -1, 1, -1, 39, 29, "wsc", "War Scythe", -1, -1, 5, 5000, "lpur", "lpur", "", "", "", -1, "", "deadly", -1, 100, 100, "noheal", -1, 1, 1, "manasteal", -1, 5, 5, "dmg%", -1, 20, 20, "dmg-min", -1, 15, 15, "*hp", -1, -20, -20, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Bane Ash", 0, 1, -1, 1, -1, 7, 5, "sst", "Short Staff", -1, -1, 5, 5000, "lgrn", "lgrn", "", "", "", -1, "", "fire-min", -1, 4, 4, "fire-max", -1, 6, 6, "res-fire", -1, 50, 50, "mana", -1, 30, 30, "swing2", -1, 20, 20, "dmg%", -1, 50, 60, "skill", 36, 5, 5, "skill", 37, 2, 2, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Serpent Lord", 0, 1, -1, 1, -1, 12, 9, "lst", "Long Staff", -1, -1, 5, 5000, "cgrn", "cgrn", "", "", "", -1, "", "dmg-pois", 75, 40, 40, "res-pois", -1, 50, 50, "light", -1, -1, -1, "mana", -1, 10, 10, "dmg%", -1, 30, 40, "manasteal", -1, 100, 100, "reduce-ac", -1, 50, 50, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Lazarus Spire", 0, 1, -1, 1, -1, 24, 18, "cst", "Gnarled Staff", -1, -1, 5, 5000, "lgry", "", "", "invcstu", "", -1, "", "res-ltng", -1, 75, 75, "red-dmg", -1, 5, 5, "enr", -1, 15, 15, "skill", 53, 1, 1, "skill", 49, 2, 2, "skill", 42, 3, 3, "regen-mana", -1, 43, 43, "dmg-ltng", -1, 1, 28, "sor", -1, 1, 1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Salamander", 0, 1, -1, 1, -1, 28, 21, "bst", "Battle Staff", -1, -1, 5, 5000, "dred", "dred", "", "", "", -1, "", "dmg-fire", -1, 15, 32, "res-fire", -1, 30, 30, "skill", 51, 1, 1, "skill", 47, 2, 2, "skill", 37, 3, 3, "fireskill", -1, 2, 2, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"The Iron Jang Bong", 0, 1, -1, 1, -1, 38, 28, "wst", "War Staff", -1, -1, 5, 5000, "dyel", "dyel", "", "", "", -1, "", "ac", -1, 30, 30, "cast3", -1, 20, 20, "dmg%", -1, 100, 100, "att%", -1, 50, 50, "skill", 48, 2, 2, "skill", 46, 2, 2, "skill", 44, 3, 3, "sor", -1, 2, 2, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Pluckeye", 0, 1, -1, 1, -1, 10, 7, "sbw", "Short Bow", -1, -1, 5, 5000, "cblu", "cblu", "", "", "", -1, "", "att", -1, 28, 28, "dmg%", -1, 100, 100, "hp", -1, 10, 10, "light", -1, 2, 2, "manasteal", -1, 3, 3, "mana-kill", -1, 2, 2, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
"Witherstring", 0, 1, -1, 1, -1, 18, 13, "hbw", "Hunter’s Bow", -1, -1, 5, 5000, "lred", "lred", "", "", "", -1, "", "swing3", -1, 30, 30, "dmg-min", -1, 1, 1, "dmg-max", -1, 3, 3, "att", -1, 50, 50, "magicarrow", -1, 3, 3, "dmg%", -1, 40, 50, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1, "", -1, -1, -1
